profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
p16n_043	sn009_2015_p16n	043	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150422194956	uvp5	043	2015-04-22 19:49:56	-1.22967	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_043.tsv	export_detailed_20240510_08_40_ZOO_p16n_043.tsv	uvp5_sn009_2015_p16n
p16n_044	sn009_2015_p16n	044	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150423020636	uvp5	044	2015-04-23 02:06:36	-1.07	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_044.tsv	export_detailed_20240510_08_40_ZOO_p16n_044.tsv	uvp5_sn009_2015_p16n
p16n_045	sn009_2015_p16n	045	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150423092015	uvp5	045	2015-04-23 09:20:15	-0.9002	-150.99967	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_045.tsv	export_detailed_20240510_08_40_ZOO_p16n_045.tsv	uvp5_sn009_2015_p16n
p16n_046	sn009_2015_p16n	046	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150423141848	uvp5	046	2015-04-23 14:18:48	-0.7399	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_046.tsv	export_detailed_20240510_08_40_ZOO_p16n_046.tsv	uvp5_sn009_2015_p16n
p16n_047	sn009_2015_p16n	047	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150423193516	uvp5	047	2015-04-23 19:35:16	-0.5796	-150.99967	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_047.tsv	export_detailed_20240510_08_40_ZOO_p16n_047.tsv	uvp5_sn009_2015_p16n
p16n_048	sn009_2015_p16n	048	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150424005022	uvp5	048	2015-04-24 00:50:22	-0.4104	-151.00083	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_048.tsv	export_detailed_20240510_08_40_ZOO_p16n_048.tsv	uvp5_sn009_2015_p16n
p16n_049	sn009_2015_p16n	049	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150424110725	uvp5	049.2	2015-04-24 11:07:25	-0.25112	-151.001	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_049.tsv	export_detailed_20240510_08_40_ZOO_p16n_049.tsv	uvp5_sn009_2015_p16n
p16n_050	sn009_2015_p16n	050	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150424155857	uvp5	050	2015-04-24 15:58:57	-0.08	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_050.tsv	export_detailed_20240510_08_40_ZOO_p16n_050.tsv	uvp5_sn009_2015_p16n
p16n_051	sn009_2015_p16n	051	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150424220034	uvp5	051	2015-04-24 22:00:34	-0.003	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_051.tsv	export_detailed_20240510_08_40_ZOO_p16n_051.tsv	uvp5_sn009_2015_p16n
p16n_052	sn009_2015_p16n	052	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150425033600	uvp5	052	2015-04-25 03:36:00	-0.0802	-150.9995	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_052.tsv	export_detailed_20240510_08_40_ZOO_p16n_052.tsv	uvp5_sn009_2015_p16n
p16n_053	sn009_2015_p16n	053	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150425085536	uvp5	053	2015-04-25 08:55:36	-0.2513	-150.999	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_053.tsv	export_detailed_20240510_08_40_ZOO_p16n_053.tsv	uvp5_sn009_2015_p16n
p16n_054	sn009_2015_p16n	054	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150425134711	uvp5	054	2015-04-25 13:47:11	-0.4099	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_054.tsv	export_detailed_20240510_08_40_ZOO_p16n_054.tsv	uvp5_sn009_2015_p16n
p16n_055	sn009_2015_p16n	055	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150425194428	uvp5	055	2015-04-25 19:44:28	-0.583	-150.9955	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_055.tsv	export_detailed_20240510_08_40_ZOO_p16n_055.tsv	uvp5_sn009_2015_p16n
p16n_056	sn009_2015_p16n	056	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150426002302	uvp5	056	2015-04-26 00:23:02	-0.7413	-150.99967	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_056.tsv	export_detailed_20240510_08_40_ZOO_p16n_056.tsv	uvp5_sn009_2015_p16n
p16n_057	sn009_2015_p16n	057	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150426052701	uvp5	057	2015-04-26 05:27:01	-0.9004	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_057.tsv	export_detailed_20240510_08_40_ZOO_p16n_057.tsv	uvp5_sn009_2015_p16n
p16n_058	sn009_2015_p16n	058	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150426101511	uvp5	058	2015-04-26 10:15:11	1.07067	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_058.tsv	export_detailed_20240510_08_40_ZOO_p16n_058.tsv	uvp5_sn009_2015_p16n
p16n_059	sn009_2015_p16n	059	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150426152101	uvp5	059	2015-04-26 15:21:01	1.23	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_059.tsv	export_detailed_20240510_08_40_ZOO_p16n_059.tsv	uvp5_sn009_2015_p16n
p16n_060	sn009_2015_p16n	060	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150426201508	uvp5	060	2015-04-26 20:15:08	1.401	-150.99967	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_060.tsv	export_detailed_20240510_08_40_ZOO_p16n_060.tsv	uvp5_sn009_2015_p16n
p16n_061	sn009_2015_p16n	061	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150427014843	uvp5	061	2015-04-27 01:48:43	1.56167	-151.00033	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_061.tsv	export_detailed_20240510_08_40_ZOO_p16n_061.tsv	uvp5_sn009_2015_p16n
p16n_062	sn009_2015_p16n	062	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150427062015	uvp5	062	2015-04-27 06:20:15	1.72983	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_062.tsv	export_detailed_20240510_08_40_ZOO_p16n_062.tsv	uvp5_sn009_2015_p16n
p16n_063	sn009_2015_p16n	063	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150427114005	uvp5	063	2015-04-27 11:40:05	1.89117	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_063.tsv	export_detailed_20240510_08_40_ZOO_p16n_063.tsv	uvp5_sn009_2015_p16n
p16n_064	sn009_2015_p16n	064	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150427161012	uvp5	064	2015-04-27 16:10:12	2.05067	-150.99667	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_064.tsv	export_detailed_20240510_08_40_ZOO_p16n_064.tsv	uvp5_sn009_2015_p16n
p16n_065	sn009_2015_p16n	065	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150427214926	uvp5	065	2015-04-27 21:49:26	2.21983	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_065.tsv	export_detailed_20240510_08_40_ZOO_p16n_065.tsv	uvp5_sn009_2015_p16n
p16n_066	sn009_2015_p16n	066	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150428032059	uvp5	066	2015-04-28 03:20:59	2.38033	-150.99883	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_066.tsv	export_detailed_20240510_08_40_ZOO_p16n_066.tsv	uvp5_sn009_2015_p16n
p16n_068	sn009_2015_p16n	068	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150428153727	uvp5	068	2015-04-28 15:37:27	2.71017	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_068.tsv	export_detailed_20240510_08_40_ZOO_p16n_068.tsv	uvp5_sn009_2015_p16n
p16n_069	sn009_2015_p16n	069	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150428223846	uvp5	069	2015-04-28 22:38:46	2.99567	-151.0005	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_069.tsv	export_detailed_20240510_08_40_ZOO_p16n_069.tsv	uvp5_sn009_2015_p16n
p16n_070	sn009_2015_p16n	070	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150429044427	uvp5	070	2015-04-29 04:44:27	3.12033	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_070.tsv	export_detailed_20240510_08_40_ZOO_p16n_070.tsv	uvp5_sn009_2015_p16n
p16n_071	sn009_2015_p16n	071	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150429103618	uvp5	071	2015-04-29 10:36:18	3.32983	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_071.tsv	export_detailed_20240510_08_40_ZOO_p16n_071.tsv	uvp5_sn009_2015_p16n
p16n_072	sn009_2015_p16n	072	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150429165211	uvp5	072	2015-04-29 16:52:11	3.6695	-151.00217	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_072.tsv	export_detailed_20240510_08_40_ZOO_p16n_072.tsv	uvp5_sn009_2015_p16n
p16n_073	sn009_2015_p16n	073	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150429235033	uvp5	073	2015-04-29 23:50:33	4.0	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_073.tsv	export_detailed_20240510_08_40_ZOO_p16n_073.tsv	uvp5_sn009_2015_p16n
